 aqi, level, so2, no2, pm10, pm2_5, o3, co
58,2,7,26,43,11,109,0.4
125,3,6,20,43,24,187,0.9
43,1,8,34,31,15,63,0.8
125,3,5,23,42,26,187,0.8
134,3,5,16,39,23,197,0.7
119,3,17,60,110,90,89,1.4
58,2,9,44,65,38,74,0.8
67,2,7,39,32,13,120,0.7
43,1,6,34,42,19,72,0.5
72,2,9,35,43,14,126,0.8
90,2,5,18,40,23,147,0.8
144,3,5,27,78,38,208,1.1
51,2,6,28,17,8,101,0.6
126,3,6,21,51,29,188,0.8
37,1,5,18,14,8,73,0.7
80,2,6,28,109,37,99,0.5
61,2,7,16,72,39,111,1
50,1,5,26,50,13,91,0.4
51,2,5,24,18,6,101,0.4
60,2,9,32,49,22,112,0.6
133,3,6,17,46,27,196,0.7
76,2,8,21,39,21,131,0.8
69,2,7,29,81,22,122,0.4
